!!	C108										
					
						
CUST	NO.	XCOORD.	YCOORD.	DEMAND	READY	TIME	DUE	DATE	SERVICE	TIME

											 
	0	40	50	0	0	480	0
	1	45	68	10	322	412	90
	2	45	70	30	293	383	90
	3	42	66	10	6	126	90
	4	42	68	10	249	339	90
	5	42	65	10	5	95	90
	6	40	69	20	193	313	90
	7	40	66	20	33	123	90
	8	38	68	20	58	178	90
	9	38	70	10	166	286	90
	10	35	66	10	108	198	90
	11	35	69	10	140	230	90
	12	25	85	20	212	332	90
	13	22	75	30	11	131	90
	14	22	85	10	189	279	90
	15	20	80	40	123	213	90
	16	20	85	40	153	243	90
	17	18	75	20	12	102	90
	18	15	75	20	26	146	90
	19	15	80	10	68	188	90
	20	30	50	10	3	123	90
	21	30	52	20	324	414	90
	22	28	52	20	273	393	90
	23	28	55	10	257	347	90
	24	25	50	10	5	125	90
	25	25	52	40	34	124	90
	26	25	55	10	194	314	90
	27	23	52	10	69	159	90
	28	23	55	20	184	274	90
	29	20	50	10	111	201	90
	30	20	55	10	142	232	90
	31	10	35	20	55	115	90
	32	10	40	30	12	132	90
	33	8	40	40	12	132	90
	34	8	45	20	254	374	90
	35	5	35	10	74	194	90
	36	5	45	10	228	318	90
	37	2	40	20	118	208	90
	38	0	40	30	160	250	90
	39	0	45	20	186	276	90
	40	35	30	10	69	159	90
	41	35	32	10	24	144	90
	42	33	32	20	7	127	90
	43	33	35	10	6	126	90
	44	32	30	10	107	197	90
	45	30	30	10	175	295	90
	46	30	32	30	137	257	90
	47	30	35	10	325	445	90
	48	28	30	10	209	329	90
	49	28	35	10	336	456	90
	50	26	32	10	279	399	90
	51	25	30	10	246	366	90
	52	25	35	10	320	410	90
	53	44	5	20	74	194	90
	54	42	10	40	30	150	90
	55	42	15	10	13	133	90
	56	40	5	30	119	209	90
	57	40	15	40	13	103	90
	58	38	5	30	146	266	90
	59	38	15	10	201	321	90
	60	35	5	20	179	299	90
	61	50	30	10	160	280	90
	62	50	35	20	70	160	90
	63	50	40	50	38	128	90
	64	48	30	10	209	329	90
	65	48	40	10	4	94	90
	66	47	35	10	292	382	90
	67	47	40	10	4	124	90
	68	45	30	10	259	349	90
	69	45	35	10	324	414	90
	70	95	30	30	110	230	90
	71	95	35	20	75	195	90
	72	53	30	10	142	232	90
	73	92	30	10	143	263	90
	74	53	35	50	102	222	90
	75	45	65	20	328	448	90
	76	90	35	10	46	136	90
	77	88	30	10	182	302	90
	78	88	35	20	19	139	90
	79	87	30	10	222	342	90
	80	85	25	10	269	359	90
	81	85	35	30	18	138	90
	82	75	55	20	113	203	90
	83	72	55	10	59	179	90
	84	70	58	20	139	259	90
	85	68	60	30	182	272	90
	86	66	55	10	29	149	90
	87	65	55	20	9	129	90
	88	65	60	30	213	333	90
	89	63	58	10	248	368	90
	90	60	55	10	7	127	90
	91	60	60	10	293	383	90
	92	67	85	20	99	219	90
	93	65	85	40	158	248	90
	94	65	82	10	81	171	90
	95	62	80	30	50	140	90
	96	60	80	10	13	133	90
	97	60	85	30	182	302	90
	98	58	75	20	11	101	90
	99	55	80	10	243	363	90
	100	55	85	20	205	325	90
	999	0	0	0	0	0	0
